model,seq,hardware,time_s
3B,1024,CUDA,0.14
3B,4096,CUDA,0.27
3B,1024,CPU,7.78
3B,4096,CPU,29.26
7B,1024,CUDA,0.22
7B,4096,CUDA,0.52
7B,1024,CPU,17.58
7B,4096,CPU,64.09
3B,1024,distributed_striped,12.711
3B,1024,distributed_striped,12.075
3B,1024,distributed_vanilla,11.437
3B,1024,distributed_vanilla,13.329
3B,1024,distributed_vanilla,13.382
3B,1024,distributed_zigzag,11.495
3B,1024,distributed_zigzag,12.570
3B,4096,distributed_vanilla,39.818
3B,4096,distributed_striped,39.818
3B,4096,distributed_zigzag,39.553
